DATE,COMPOUND,BLOCK,DESCRIPTION,NAME,ALARM TYPE Type,ALARM DESC,ALM_RTN,PRIORITY,VALUE,ALARM VALUE,UNITS,LOCATION,GRP
2026-07-22 00:18:25.6,1DAS11,IVVH0441,BFP A INB BRG      Y  VIB,1726,HIABS,HIGH,ALM,1,2.07138,2,MILS,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1008,1
2026-07-22 00:18:31.6,1DAS11,IVVH0441,BFP A INB BRG      Y  VIB,1726,HIABS,HIGH,RTN,1,1.7128,2,MILS,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1008,1
2026-07-22 00:18:35.6,1DAS11,IVVH0441,BFP A INB BRG      Y  VIB,1726,HIABS,HIGH,ALM,1,2.25449,2,MILS,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1008,1
2026-07-22 00:18:41.6,1DAS11,IVVH0441,BFP A INB BRG      Y  VIB,1726,HIABS,HIGH,RTN,1,1.67847,2,MILS,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1008,1
2026-07-22 00:18:45.4,1O2,B22A,O2 IN MANUAL,,STATE,NORMAL,RTN,1,,,,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1001,1
2026-07-22 00:18:55.6,1DAS11,IVVH0441,BFP A INB BRG      Y  VIB,1726,HIABS,HIGH,ALM,1,2.02751,2,MILS,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1008,1
2026-07-22 00:19:07.6,1DAS11,IVVH0441,BFP A INB BRG      Y  VIB,1726,HIABS,HIGH,RTN,1,1.69373,2,MILS,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1008,1
2026-07-22 00:19:12.8,1BFA_GSM_ALM,BFA_ALM12,MARK VIE A BFPT ALARM,,STA_4,BENTLY VIBRATION OK,RTN,1,0,0,,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1011,1
2026-07-22 00:19:12.8,1BFB_GSM_ALM,BFB_ALM12,MARK VIE B BFPT ALARM,,STA_4,BENTLY VIBRATION OK,RTN,1,0,0,,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1011,1
2026-07-22 00:19:17.6,1DAS11,IVVH0031,BFP A INB BRG  X  VIB,1725,HIABS,HIGH,RTN,1,1.68038,2,MILS,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1008,1
2026-07-22 00:19:18.8,1BFA_GSM_ALM,BFA_ALM14,MARK VIE A BFPT ALARM,,STA_7,SPD DEV FROM SETPOINT,ALM,5,0,0,,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1011,1
2026-07-22 00:19:24.3,1MKVIE_ALM2,B1A,MARK VIE A BFPT GENERAL ALARM,,STATE,NORMAL,RTN,1,,,,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1002,1
2026-07-22 00:19:24.3,1MKVIE_ALM2,B2A,MARK VIE B BFPT GENERAL ALARM,,STATE,NORMAL,RTN,1,,,,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1002,1
2026-07-22 00:20:48.4,1SBRS,B13,R.H. SOOT BLOWING REG FBK,,HIABS,R.H. SOOTBLOWER FB @ 90%,ALM,5,94.5469,90,PCT,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1009,1
2026-07-22 00:20:59.0,1SBRS,B13,R.H. SOOT BLOWING REG FBK,,HIABS,R.H. SOOTBLOWER FB @ 90%,RTN,5,89.2148,90,PCT,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1009,1
