DATE,COMPOUND,BLOCK,DESCRIPTION,NAME,ALARM TYPE Type,ALARM DESC,ALM_RTN,PRIORITY,VALUE,ALARM VALUE,UNITS,LOCATION,GRP
2026-07-16 19:11:39.3,1BCS_7,IKTE3751,REHEAT TEMP RIGHT (REDUNDANT),,HIABS,HIGH,RTN,1,1007.14,1012.18,DEG.F,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1007,1
2026-07-16 19:11:56.0,1MELIM,ME_FLOW,MIST ELIMINATOR WASH FLOW,,STATE,ME WASH FLOW OK,RTN,3,,,,!hist14!CP1017,2
2026-07-16 19:13:00.2,1JMILL,LO_TSL,J PULV LUBE OIL   TEMP ALM,,LOABS,LOW PULV LUBE OIL TEMPERATURE,ALM,5,89.9902,90,DEGF,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1004,1
2026-07-16 19:13:37.2,1SBRS,B13,R.H. SOOT BLOWING REG FBK,,HIABS,R.H. SOOTBLOWER FB @ 90%,ALM,5,91.0352,90,PCT,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1009,1
2026-07-16 19:13:40.7,1SBRS,B13,R.H. SOOT BLOWING REG FBK,,HIABS,R.H. SOOTBLOWER FB @ 90%,RTN,5,88.9727,90,PCT,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1009,1
2026-07-16 19:19:41.0,1NW_ESP_SMP,NWAI6702B,PRECIP SUMP PMP B DSCH PH,,IOBAD,BAD CHANNEL,RTN,3,,,,!WP1002!WP1011!WP1001!hist14!CP1020,1
2026-07-16 19:19:42.4,1NW_ESP_SMP,NWAI6702B,PRECIP SUMP PMP B DSCH PH,,IOBAD,BAD CHANNEL,ALM,3,,,,!WP1002!WP1011!WP1001!hist14!CP1020,1
2026-07-16 19:19:43.4,1NW_ESP_SMP,NWAI6702B,PRECIP SUMP PMP B DSCH PH,,IOBAD,BAD CHANNEL,RTN,3,,,,!WP1002!WP1011!WP1001!hist14!CP1020,1
2026-07-16 19:19:44.0,1NW_ESP_SMP,NWAI6702B,PRECIP SUMP PMP B DSCH PH,,IOBAD,BAD CHANNEL,RTN,3,,,,!WP1002!WP1011!WP1001!hist14!CP1020,1
2026-07-16 19:19:44.4,1NW_ESP_SMP,NWAI6702B,PRECIP SUMP PMP B DSCH PH,,IOBAD,BAD CHANNEL,ALM,3,,,,!WP1002!WP1011!WP1001!hist14!CP1020,1
2026-07-16 19:21:04.0,1MELIM,ZDS5504,WET/DRY INTFC VLV  DM DEV,,HIDEV,HIGH DEVIATION ALARM,RTN,3,53.9688,57.5,%,!hist14!CP1017,2
2026-07-16 19:22:35.0,1MELIM,ZDS5504,WET/DRY INTFC VLV  DM DEV,,HIDEV,HIGH DEVIATION ALARM,ALM,3,98.7363,5,%,!hist14!CP1017,2
2026-07-16 19:23:31.5,1MELIM,ME_FLOW,MIST ELIMINATOR WASH FLOW,,STATE,ME WASH LOW FLOW,ALM,3,,,,!hist14!CP1017,2
2026-07-16 19:24:01.0,1MELIM,ME_FLOW,MIST ELIMINATOR WASH FLOW,,STATE,ME WASH FLOW OK,RTN,3,,,,!hist14!CP1017,2
2026-07-16 19:29:54.0,1NW_ESP_SMP,NWAI6702B,PRECIP SUMP PMP B DSCH PH,,IOBAD,BAD CHANNEL,ALM,3,,,,!WP1002!WP1011!WP1001!hist14!CP1020,1
2026-07-16 19:29:55.4,1NW_ESP_SMP,NWAI6702B,PRECIP SUMP PMP B DSCH PH,,IOBAD,BAD CHANNEL,RTN,3,,,,!WP1002!WP1011!WP1001!hist14!CP1020,1
2026-07-16 19:30:09.0,1NW_ESP_SMP,NWAI6702B,PRECIP SUMP PMP B DSCH PH,,IOBAD,BAD CHANNEL,ALM,3,,,,!WP1002!WP1011!WP1001!hist14!CP1020,1
2026-07-16 19:32:44.5,1TF,B24,TOTAL FUEL MOCS,,HIOUT,HIGH AVG MILL LOAD,ALM,5,80.0273,80,%,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1001,1
2026-07-16 19:32:46.5,1TF,B24,TOTAL FUEL MOCS,,HIOUT,HIGH AVG MILL LOAD,RTN,5,79.8587,80,%,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1001,1
2026-07-16 19:34:25.5,1AAIR,B16,WINDBOX/FURN DIFF PRESS,,LLABS,WINDBIX/FURN PRESS LOW,RTN,5,2.50063,2,INWC,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1001,1
2026-07-16 19:35:21.5,1AAIR,B16,WINDBOX/FURN DIFF PRESS,,LLABS,WINDBIX/FURN PRESS LOW,ALM,5,1.9983,2,INWC,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1001,1
2026-07-16 19:36:04.0,1MELIM,ZDS5504,WET/DRY INTFC VLV  DM DEV,,HIDEV,HIGH DEVIATION ALARM,RTN,3,53.9922,57.5,%,!hist14!CP1017,2
2026-07-16 19:36:11.1,1AB_SURGEA,FCVA153AL,LINE A TO SILO    B,TRANSPORT LIN,STATE,FAIL,ALM,3,,,,!WP1002!WP1011!WP1001!hist14!CP1020,1
2026-07-16 19:36:13.1,1AB_SURGEA,FCVA153AL,LINE A TO SILO    B,TRANSPORT LIN,STATE,OK,RTN,3,,,,!WP1002!WP1011!WP1001!hist14!CP1020,1
2026-07-16 19:37:35.0,1MELIM,ZDS5504,WET/DRY INTFC VLV  DM DEV,,HIDEV,HIGH DEVIATION ALARM,ALM,3,98.7793,5,%,!hist14!CP1017,2
2026-07-16 19:39:20.5,1MELIM,SEQ3_ALMS,MIST ELIM VALVE FAIL ALARMS,ARXV5622J,STA_3,ARXV5622J FAILURE,ALM,1,545.922,0,,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1017,1
2026-07-16 19:40:05.5,1MELIM,SEQ3_ALMS,MIST ELIM VALVE FAIL ALARMS,ARXV5622J,STA_3,VLV FAILURE CLEAR,RTN,1,19.0797,0,,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1017,1
2026-07-16 19:40:36.0,1DAS10,IACE3211,COND MAKE-UP SPEC CNDCT,,HIABS,HIGH,RTN,1,0.27998,0.3,US/CM,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1008,1
2026-07-16 19:44:17.7,1SBRS,B13,R.H. SOOT BLOWING REG FBK,,HIABS,R.H. SOOTBLOWER FB @ 90%,ALM,5,90.6387,90,PCT,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1009,1
2026-07-16 19:44:20.2,1SBRS,B13,R.H. SOOT BLOWING REG FBK,,HIABS,R.H. SOOTBLOWER FB @ 90%,RTN,5,89.8262,90,PCT,!WP1002!WP1006!WP1007!WP1001!WP1003!WP1014!hist14!CP1009,1
2026-07-16 19:51:04.0,1MELIM,ZDS5504,WET/DRY INTFC VLV  DM DEV,,HIDEV,HIGH DEVIATION ALARM,RTN,3,54.0527,57.5,%,!hist14!CP1017,2
2026-07-16 19:52:09.0,1MELIM,SEQ4_ALMS,MIST ELIM VALVE FAIL ALARMS,ARXV5621E,STA_1,ARXV5621E FAILURE,ALM,1,20.5813,0,,!WP1001!WP1002!WP1003!WP1006!WP1007!WP1014!hist14!CP1017,1
